users,adoption,msg_rate_group,avg_group_size,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.05,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.7877068519592285,0.0,0.0,0.26666666666666666,100.0,100.0,,,,,14664.0,,,0.23044506875639997,0.23044506875639997,0.26666666666666666,0.26666666666666666
12000,0.05,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8195011615753174,0.0,0.0,0.5333333333333333,62.5,62.5,,,,,46427.0,,,0.19010855755844155,0.19010855755844155,0.6666666666666666,0.6666666666666666
12000,0.05,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8637075424194336,0.0,0.0,0.4,90.0,90.0,,,,,87899.5,,,0.12312851194229785,0.12312851194229785,0.6,0.6
12000,0.05,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9243466854095459,0.0,0.0,0.8666666666666667,95.0,95.0,,,,,173936.0,,,0.28614566871716307,0.28614566871716307,5.266666666666667,5.266666666666667
12000,0.05,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0095207691192627,0.0,0.0,0.8,40.0,40.0,,,,,193590.5,,,0.220830241848531,0.220830241848531,5.533333333333333,5.533333333333333
12000,0.05,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.197695016860962,0.0,0.0,0.9333333333333333,72.5,72.5,,,,,299065.0,,,0.2227850939508756,0.2227850939508756,9.666666666666666,9.666666666666666
12000,0.1,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0944116115570068,0.0,0.0,0.4666666666666667,105.0,105.0,,,,,14663.0,,,0.4517175298868565,0.4517175298868565,0.5333333333333333,0.5333333333333333
12000,0.1,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8912937641143799,0.0,0.0,0.7333333333333333,60.0,60.0,,,,,45293.0,,,0.3930565586456858,0.3930565586456858,1.5333333333333334,1.5333333333333334
12000,0.1,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9268326759338379,0.0,0.0,0.6666666666666666,82.5,82.5,,,,,86077.5,,,0.4108720749119518,0.4108720749119518,1.7333333333333334,1.7333333333333334
12000,0.1,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9712085723876953,0.0,0.0,0.8666666666666667,70.0,70.0,,,,,149463.0,,,0.47411042225692834,0.47411042225692834,6.733333333333333,6.733333333333333
12000,0.1,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0210916996002197,0.0,0.0,1.0,25.0,25.0,,,,,172937.0,,,0.5254301703323114,0.5254301703323114,13.466666666666667,13.466666666666667
12000,0.1,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0815246105194092,0.0,0.0,1.0,35.0,35.0,,,,,248489.0,,,0.36653413256061795,0.36653413256061795,10.466666666666667,10.466666666666667
12000,0.2,0.0,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8802909851074219,0.0,0.0,0.8666666666666667,55.0,55.0,,,,,11003.0,,,0.9071662393516066,0.9071662393516066,1.3333333333333333,1.3333333333333333
12000,0.2,0.02,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.8871052265167236,0.0,0.0,0.8666666666666667,40.0,40.0,,,,,40642.0,,,0.8308225441199416,0.8308225441199416,2.6,2.6
12000,0.2,0.04,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9268946647644043,0.0,0.0,0.9333333333333333,42.5,42.5,,,,,71809.0,,,1.0214791115641624,1.0214791115641624,8.466666666666667,8.466666666666667
12000,0.2,0.08,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9867150783538818,0.0,0.0,1.0,50.0,50.0,,,,,137008.0,,,0.8343360620510659,0.8343360620510659,10.0,10.0
12000,0.2,0.12,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0237758159637451,0.0,0.0,1.0,10.0,10.0,,,,,161544.0,,,0.9575898358751772,0.9575898358751772,22.6,22.6
12000,0.2,0.16,32,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0879244804382324,0.0,0.0,1.0,15.0,15.0,,,,,218166.0,,,0.9772557829887539,0.9772557829887539,31.8,31.8
