tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,7127
1,0,0,0,0,0,0,0,0,0,0,6640
2,0,0,0,0,0,0,0,0,0,0,6446
3,0,0,0,0,0,0,0,0,0,0,7192
4,0,0,0,0,0,0,0,0,0,0,6543
5,0,0,0,0,0,0,0,0,0,0,6383
6,0,0,0,0,0,0,0,0,0,0,6182
7,0,0,0,0,0,0,0,0,0,0,6531
8,0,0,0,0,0,0,0,0,0,0,6091
9,0,0,0,0,0,0,0,0,0,0,6147
10,0,0,0,0,0,0,0,0,0,0,5627
11,0,0,0,0,0,0,0,0,0,0,5906
12,0,0,0,0,0,0,0,0,0,0,4744
13,0,0,0,0,0,0,0,0,0,0,6092
14,0,0,0,29568,0,0,0,0,0,0,5640
15,0,0,0,0,0,0,0,0,0,0,4827
16,0,0,0,0,0,0,0,0,0,0,4686
17,0,0,0,0,0,0,0,0,0,0,5162
18,0,0,0,0,0,0,0,0,0,0,4337
19,0,0,0,0,0,0,0,0,0,0,5243
20,0,0,0,0,0,0,0,0,0,0,4652
21,0,0,0,33152,0,0,0,0,0,0,5524
22,0,0,0,0,0,0,0,0,0,0,4742
23,0,0,0,896,0,0,0,0,0,0,5729
24,0,0,0,0,0,0,0,0,0,0,5573
25,0,0,0,0,0,0,0,0,0,0,4623
26,0,0,0,896,0,0,0,0,0,0,4821
27,0,0,0,0,0,0,0,0,0,0,5071
28,0,0,0,0,0,0,0,0,0,0,4429
29,0,0,0,0,0,0,0,0,0,0,5602
30,0,0,0,0,0,0,0,0,0,0,4982
31,0,0,0,0,0,0,0,0,0,0,5571
32,0,0,0,34048,0,0,0,0,0,0,4922
33,0,0,0,0,0,0,0,0,0,0,5241
34,0,0,0,0,0,0,0,0,0,0,5058
35,0,0,0,0,0,0,0,0,0,0,5847
36,0,0,0,0,0,0,0,0,0,0,5577
37,0,0,0,0,0,0,0,0,0,0,5679
38,0,0,0,0,0,0,0,0,0,0,6033
39,0,0,0,0,0,0,0,0,0,0,6142
40,0,0,0,0,0,0,0,0,0,0,6133
41,0,0,0,0,0,0,0,0,0,0,6254
42,0,0,0,0,0,0,0,0,0,0,6703
43,1,1,1,32256,0,1,0,0,1,0,6035
44,1,1,1,0,0,0,0,0,0,0,6181
45,1,1,1,0,0,0,0,0,0,0,6986
46,1,1,1,0,0,0,0,0,0,0,6975
47,1,1,1,0,0,0,0,0,0,0,7217
48,1,1,1,0,0,0,0,0,0,0,7362
49,1,1,1,0,0,0,0,0,0,0,7518
50,1,1,1,0,0,0,0,0,0,0,8234
51,1,1,1,0,0,0,0,0,0,0,8199
52,1,1,1,896,0,0,0,0,0,0,7727
53,1,1,1,0,0,0,0,0,0,0,8715
54,1,1,1,0,0,0,0,0,0,0,8826
55,1,1,1,0,0,0,0,0,0,0,8457
56,1,1,1,0,0,0,0,0,0,0,7903
57,2,2,2,34048,0,1,0,0,1,0,9599
58,2,2,2,0,0,0,0,0,0,0,9376
59,2,2,2,896,0,0,0,0,0,0,10023
60,2,2,2,0,0,0,0,0,0,0,10827
61,2,2,2,0,0,0,0,0,0,0,10264
62,2,2,2,0,0,0,0,0,0,0,11018
63,2,2,2,0,0,0,0,0,0,0,10607
64,27,27,27,25088,0,25,0,0,25,0,11502
65,27,27,27,896,0,0,0,0,0,0,11937
66,27,27,27,0,0,0,0,0,0,0,11674
67,27,27,27,0,0,0,0,0,0,0,11498
68,27,27,27,0,0,0,0,0,0,0,12730
69,27,27,27,0,0,0,0,0,0,0,12314
70,27,27,27,0,0,0,0,0,0,0,14406
71,27,27,27,21504,0,0,0,0,0,0,13661
