users,adoption,avg_group_size,msg_rate_group,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,groups,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.05,8,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0180933475494385,0.0,0.0,0.4,47.5,47.5,,,,,28098.5,,,0.23040659974761807,0.23040659974761807,0.8,0.8
12000,0.05,16,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0420691967010498,0.0,0.0,0.6666666666666666,100.0,100.0,,,,,79976.5,,,0.24296095979571536,0.24296095979571536,1.4666666666666666,1.4666666666666666
12000,0.05,32,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1021943092346191,0.0,0.0,0.8666666666666667,85.0,85.0,,,,,168593.0,,,0.24537629195827868,0.24537629195827868,6.666666666666667,6.666666666666667
12000,0.05,64,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.195943832397461,0.0,0.0,0.4666666666666667,110.0,110.0,,,,,397018.0,,,0.16225304274974464,0.16225304274974464,2.4,2.4
12000,0.05,96,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.3436455726623535,0.0,0.0,0.9333333333333333,67.5,67.5,,,,,482869.5,,,0.2128752310643302,0.2128752310643302,8.0,8.0
12000,0.1,8,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.101219892501831,0.0,0.0,0.6666666666666666,80.0,80.0,,,,,32789.5,,,0.3257071004502203,0.3257071004502203,1.1333333333333333,1.1333333333333333
12000,0.1,16,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0715882778167725,0.0,0.0,0.7333333333333333,65.0,65.0,,,,,66577.0,,,0.5196712325777703,0.5196712325777703,2.7333333333333334,2.7333333333333334
12000,0.1,32,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1363115310668945,0.0,0.0,0.9333333333333333,55.0,55.0,,,,,144552.5,,,0.4466939832622088,0.4466939832622088,7.933333333333334,7.933333333333334
12000,0.1,64,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1834766864776611,0.0,0.0,0.9333333333333333,17.5,17.5,,,,,249549.0,,,0.43810881293976667,0.43810881293976667,11.133333333333333,11.133333333333333
12000,0.1,96,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.175368309020996,0.0,0.0,1.0,50.0,50.0,,,,,454276.0,,,0.4671536902301022,0.4671536902301022,17.2,17.2
12000,0.2,8,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.9745368957519531,0.0,0.0,0.8666666666666667,40.0,40.0,,,,,27152.0,,,0.8163006828363595,0.8163006828363595,2.8666666666666667,2.8666666666666667
12000,0.2,16,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,0.964259147644043,0.0,0.0,1.0,60.0,60.0,,,,,64512.0,,,0.8126547694408913,0.8126547694408913,6.466666666666667,6.466666666666667
12000,0.2,32,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.0147907733917236,0.0,0.0,1.0,55.0,55.0,,,,,144291.0,,,0.8800541620564608,0.8800541620564608,9.933333333333334,9.933333333333334
12000,0.2,64,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.1006808280944824,0.0,0.0,1.0,25.0,25.0,,,,,257699.0,,,0.89947046248132,0.89947046248132,42.6,42.6
12000,0.2,96,0.08,0.005,permanent_fork,sth_proof,0.05,0.02,0.02,0.0,800,15,1.172194004058838,0.0,0.0,1.0,40.0,40.0,,,,,415734.0,,,0.9245041711682112,0.9245041711682112,57.4,57.4
