tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,9892
1,0,0,0,0,0,0,0,0,0,0,11583
2,0,0,0,0,0,0,0,0,0,0,11201
3,0,0,0,896,0,0,0,0,0,0,10980
4,0,0,0,0,0,0,0,0,0,0,9883
5,0,0,0,0,0,0,0,0,0,0,10543
6,0,0,0,0,0,0,0,0,0,0,9133
7,0,0,0,80640,0,0,0,0,0,0,9868
8,0,0,0,0,0,0,0,0,0,0,8409
9,0,0,0,0,0,0,0,0,0,0,9979
10,0,0,0,0,0,0,0,0,0,0,9552
11,0,0,0,0,0,0,0,0,0,0,9217
12,0,0,0,0,0,0,0,0,0,0,9942
13,0,0,0,1792,0,0,0,0,0,0,10381
14,0,0,0,0,0,0,0,0,0,0,8872
15,0,0,0,0,0,0,0,0,0,0,7807
16,0,0,0,0,0,0,0,0,0,0,8063
17,0,0,0,97664,0,0,0,0,0,0,6853
18,0,0,0,0,0,0,0,0,0,0,9063
19,0,0,0,896,0,0,0,0,0,0,7442
20,0,0,0,0,0,0,0,0,0,0,8250
21,0,0,0,0,0,0,0,0,0,0,7601
22,0,0,0,0,0,0,0,0,0,0,8402
23,0,0,0,0,0,0,0,0,0,0,7950
24,0,0,0,896,0,0,0,0,0,0,8417
25,0,0,0,0,0,0,0,0,0,0,7363
26,0,0,0,0,0,0,0,0,0,0,7827
27,0,0,0,0,0,0,0,0,0,0,7748
28,0,0,0,896,0,0,0,0,0,0,8998
29,0,0,0,896,0,0,0,0,0,0,9505
30,0,0,0,0,0,0,0,0,0,0,8834
31,0,0,0,0,0,0,0,0,0,0,7672
32,0,0,0,896,0,0,0,0,0,0,9228
33,0,0,0,0,0,0,0,0,0,0,9178
34,0,0,0,896,0,0,0,0,0,0,8141
35,0,0,0,85120,0,0,0,0,0,0,10365
36,0,0,0,896,0,0,0,0,0,0,8048
37,0,0,0,0,0,0,0,0,0,0,9439
38,0,0,0,0,0,0,0,0,0,0,9911
39,0,0,0,0,0,0,0,0,0,0,14670
40,0,0,0,0,0,0,0,0,0,0,9516
41,0,0,0,0,0,0,0,0,0,0,9245
42,0,0,0,0,0,0,0,0,0,0,10288
43,0,0,0,0,0,0,0,0,0,0,10723
44,0,0,0,0,0,0,0,0,0,0,8719
45,0,0,0,896,0,0,0,0,0,0,11790
46,5,5,5,94080,0,5,0,0,5,0,12369
47,5,5,5,0,0,0,0,0,0,0,12570
48,5,5,5,0,0,0,0,0,0,0,13177
49,5,5,5,0,0,0,0,0,0,0,11931
50,5,5,5,0,0,0,0,0,0,0,13486
51,5,5,5,896,0,0,0,0,0,0,16669
52,5,5,5,0,0,0,0,0,0,0,11537
53,5,5,5,896,0,0,0,0,0,0,14636
54,5,5,5,0,0,0,0,0,0,0,13695
55,5,5,5,1792,0,0,0,0,0,0,13995
56,5,5,5,896,0,0,0,0,0,0,15025
57,5,5,5,0,0,0,0,0,0,0,13877
58,5,5,5,0,0,0,0,0,0,0,14086
59,5,5,5,0,0,0,0,0,0,0,15629
60,5,5,5,0,0,0,0,0,0,0,15883
61,5,5,5,0,0,0,0,0,0,0,16020
62,5,5,5,0,0,0,0,0,0,0,18495
63,5,5,5,896,0,0,0,0,0,0,16671
64,5,5,5,896,0,0,0,0,0,0,19185
65,9,9,9,86912,0,4,0,0,4,0,17979
66,9,9,9,896,0,0,0,0,0,0,18104
67,10,10,10,896,0,1,0,0,1,0,21506
68,10,10,10,0,0,0,0,0,0,0,20711
69,10,10,10,0,0,0,0,0,0,0,20774
70,21,21,21,190848,0,11,0,0,11,0,20676
71,21,21,21,0,0,0,0,0,0,0,20863
