tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,1792,0,0,0,0,0,0,1013,12000
1,0,0,0,896,0,0,0,0,0,0,874,12000
2,0,0,0,896,0,0,0,0,0,0,958,12000
3,0,0,0,896,0,0,0,0,0,0,836,12000
4,0,0,0,0,0,0,0,0,0,0,854,12000
5,0,0,0,0,0,0,0,0,0,0,1011,12000
6,0,0,0,9856,0,0,0,0,0,0,790,12000
7,0,0,0,0,0,0,0,0,0,0,793,12000
8,0,0,0,0,0,0,0,0,0,0,957,12000
9,0,0,0,896,0,0,0,0,0,0,706,12000
10,0,0,0,0,0,0,0,0,0,0,779,12000
11,0,0,0,8064,0,0,0,0,0,0,759,12000
12,0,0,0,16128,0,0,0,0,0,0,643,18
13,0,0,0,0,0,0,0,0,0,0,782,18
14,0,0,0,0,0,0,0,0,0,0,636,18
15,0,0,0,896,0,0,0,0,0,0,587,20
16,0,0,0,0,0,0,0,0,0,0,725,20
17,0,0,0,1792,0,0,0,0,0,0,732,24
18,0,0,0,896,0,0,0,0,0,0,684,26
19,0,0,0,0,0,0,0,0,0,0,776,26
20,0,0,0,896,0,0,0,0,0,0,692,28
21,0,0,0,896,0,0,0,0,0,0,720,30
22,0,0,0,896,0,0,0,0,0,0,666,32
23,0,0,0,896,0,0,0,0,0,0,520,34
24,0,0,0,8960,0,0,0,0,0,0,676,12
25,0,0,0,14336,0,0,0,0,0,0,608,28
26,0,0,0,896,0,0,0,0,0,0,638,30
27,0,0,0,0,0,0,0,0,0,0,641,30
28,0,0,0,0,0,0,0,0,0,0,538,30
29,0,0,0,1792,0,0,0,0,0,0,584,34
30,0,0,0,0,0,0,0,0,0,0,652,34
31,0,0,0,0,0,0,0,0,0,0,701,34
32,0,0,0,0,0,0,0,0,0,0,616,34
33,0,0,0,0,0,0,0,0,0,0,677,34
34,0,0,0,896,0,0,0,0,0,0,789,36
35,0,0,0,0,0,0,0,0,0,0,670,36
36,0,0,0,0,0,0,0,0,0,0,561,0
37,0,0,0,7168,0,0,0,0,1,1,845,8
38,0,0,0,14336,0,0,0,0,1,1,825,25
39,0,0,0,8064,0,0,0,0,0,0,850,34
40,0,0,0,1792,0,0,0,0,1,1,695,38
41,0,0,0,10752,0,0,0,0,2,2,618,51
42,0,0,0,2688,0,0,0,0,1,1,758,58
43,0,0,0,896,0,0,0,0,0,0,1040,60
44,0,0,0,896,0,0,0,0,0,0,729,62
45,0,0,0,896,0,0,0,0,0,0,844,64
46,0,0,0,11648,0,0,0,0,0,0,934,78
47,0,0,0,896,0,0,0,0,0,0,865,80
48,0,0,0,0,0,0,0,0,0,0,976,0
49,0,0,0,8064,0,0,0,0,0,0,1017,10
50,0,0,0,1792,0,0,0,0,0,0,1128,14
51,0,0,0,4480,0,0,0,0,0,0,1001,24
52,0,0,0,10752,0,0,0,0,1,1,913,36
53,0,0,0,896,0,0,0,0,0,0,1087,38
54,0,0,0,896,0,0,0,0,0,0,1056,40
55,0,0,0,9856,0,0,0,0,0,0,1281,51
56,0,0,0,11648,0,0,0,0,0,0,1076,65
57,0,0,0,896,0,0,0,0,0,0,1036,67
58,0,0,0,0,0,0,0,0,0,0,1190,67
59,0,0,0,10752,0,0,0,0,2,2,1455,79
60,0,0,0,896,0,0,0,0,0,0,1220,2
61,0,0,0,7168,0,0,0,0,1,1,1177,10
62,0,0,0,8960,0,0,0,0,13,13,1447,18
63,0,0,0,2688,0,0,0,0,0,0,1513,24
64,0,0,0,0,0,0,0,0,0,0,1436,24
65,0,0,0,1792,0,0,0,0,0,0,1536,28
66,0,0,0,0,0,0,0,0,0,0,1448,28
67,0,0,0,21504,0,0,0,0,0,0,1613,55
68,0,0,0,896,0,0,0,0,0,0,1643,57
69,0,0,0,0,0,0,0,0,0,0,1523,57
70,0,0,0,0,0,0,0,0,0,0,1687,57
71,0,0,0,10752,0,0,0,0,0,0,1651,70
