tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,2688,0,0,0,0,0,0,795,12000
1,0,0,0,14336,0,0,0,0,0,0,912,12000
2,0,0,0,896,0,0,0,0,0,0,845,12000
3,0,0,0,0,0,0,0,0,0,0,878,12000
4,0,0,0,1792,0,0,0,0,0,0,633,12000
5,0,0,0,896,0,0,0,0,0,0,896,12000
6,0,0,0,0,0,0,0,0,0,0,798,12000
7,0,0,0,896,0,0,0,0,0,0,693,12000
8,0,0,0,896,0,0,0,0,0,0,829,12000
9,0,0,0,7168,0,0,0,0,0,0,809,12000
10,0,0,0,896,0,0,0,0,0,0,716,12000
11,0,0,0,14336,0,0,0,0,0,0,774,12000
12,0,0,0,896,0,0,0,0,0,0,682,2
13,0,0,0,896,0,0,0,0,0,0,713,4
14,0,0,0,896,0,0,0,0,0,0,717,6
15,0,0,0,1792,0,0,0,0,0,0,703,10
16,0,0,0,2688,0,0,0,0,0,0,701,16
17,0,0,0,896,0,0,0,0,0,0,836,18
18,0,0,0,0,0,0,0,0,0,0,644,18
19,0,0,0,0,0,0,0,0,0,0,579,18
20,0,0,0,896,0,0,0,0,0,0,658,20
21,0,0,0,896,0,0,0,0,0,0,664,22
22,0,0,0,0,0,0,0,0,0,0,733,22
23,0,0,0,7168,0,0,0,0,0,0,679,31
24,0,0,0,0,0,0,0,0,0,0,666,0
25,0,0,0,896,0,0,0,0,0,0,644,2
26,0,0,0,0,0,0,0,0,0,0,745,2
27,0,0,0,8064,0,0,0,0,0,0,628,12
28,0,0,0,1792,0,0,0,0,0,0,754,16
29,0,0,0,896,0,0,0,0,0,0,724,18
30,0,0,0,896,0,0,0,0,0,0,571,20
31,0,0,0,0,0,0,0,0,0,0,702,20
32,0,0,0,1792,0,0,0,0,0,0,683,24
33,0,0,0,0,0,0,0,0,0,0,871,24
34,0,0,0,0,0,0,0,0,0,0,837,24
35,0,0,0,0,0,0,0,0,0,0,660,24
36,0,0,0,2688,0,0,0,0,0,0,799,6
37,0,0,0,896,0,0,0,0,0,0,720,7
38,0,0,0,896,0,0,0,0,0,0,882,9
39,0,0,0,22400,0,0,0,0,0,0,753,34
40,0,0,0,896,0,0,0,0,0,0,900,36
41,0,0,0,896,0,0,0,0,0,0,928,38
42,0,0,0,896,0,0,0,0,0,0,816,40
43,0,0,0,0,0,0,0,0,0,0,983,40
44,0,0,0,0,0,0,0,0,0,0,872,40
45,0,0,0,0,0,0,0,0,0,0,781,40
46,0,0,0,896,0,0,0,0,0,0,845,42
47,0,0,0,896,0,0,0,0,0,0,1059,44
48,0,0,0,1792,0,0,0,0,0,0,860,4
49,0,0,0,1792,0,0,0,0,0,0,937,8
50,0,0,0,896,0,0,0,0,0,0,907,10
51,0,0,0,896,0,0,0,0,0,0,994,12
52,0,0,0,896,0,0,0,0,0,0,991,14
53,0,0,0,896,0,0,0,0,0,0,1120,16
54,0,0,0,896,0,0,0,0,0,0,1150,18
55,0,0,0,15232,0,0,0,0,0,0,1231,37
56,0,0,0,2688,0,0,0,0,0,0,1150,42
57,0,0,0,17024,0,0,0,0,0,0,1347,64
58,0,0,0,1792,0,0,0,0,0,0,1401,68
59,0,0,0,896,0,0,0,0,0,0,1382,70
60,0,0,0,14336,0,0,0,0,0,0,1446,17
61,0,0,0,896,0,0,0,0,0,0,1465,19
62,0,0,0,1792,0,0,0,0,0,0,1431,23
63,0,0,0,896,0,0,0,0,0,0,1446,25
64,0,0,0,0,0,0,0,0,0,0,1417,25
65,0,0,0,13440,0,0,0,0,0,0,1446,43
66,0,0,0,17024,0,0,0,0,0,0,1555,64
67,0,0,0,2688,0,0,0,0,0,0,1588,70
68,0,0,0,26880,0,0,0,0,0,0,1549,99
69,0,0,0,2688,0,0,0,0,0,0,1653,105
70,0,0,0,15232,0,0,0,0,0,0,2008,126
71,0,0,0,10752,0,0,0,0,0,0,1622,139
