tick,user,event
41,7797,aware
41,7797,evidence
41,7797,detect
41,5088,aware
41,5088,evidence
41,5088,detect
42,8588,aware
42,8588,evidence
42,8588,detect
42,1600,aware
42,1600,evidence
42,1600,detect
42,10180,aware
42,10180,evidence
42,10180,detect
42,5639,aware
42,5639,evidence
42,5639,detect
42,11149,aware
42,11149,evidence
42,11149,detect
42,9680,aware
42,9680,evidence
42,9680,detect
42,10818,aware
42,10818,evidence
42,10818,detect
42,1159,aware
42,1159,evidence
42,1159,detect
42,8293,aware
42,8293,evidence
42,8293,detect
42,6516,aware
42,6516,evidence
42,6516,detect
42,7412,aware
42,7412,evidence
42,7412,detect
42,8702,aware
42,8702,evidence
42,8702,detect
42,8430,aware
42,8430,evidence
42,8430,detect
42,3635,aware
42,3635,evidence
42,3635,detect
42,4492,aware
42,4492,evidence
42,4492,detect
42,6893,aware
42,6893,evidence
42,6893,detect
43,1369,aware
43,1369,evidence
43,1369,detect
43,8547,aware
43,8547,evidence
43,8547,detect
44,11958,aware
44,11958,evidence
44,11958,detect
48,3986,aware
48,3986,evidence
48,3986,detect
48,6386,aware
48,6386,evidence
48,6386,detect
63,4850,aware
63,4850,evidence
63,4850,detect
66,246,aware
66,246,evidence
66,246,detect
67,3270,aware
67,3270,evidence
67,3270,detect
