tick,user,event
37,4146,aware
37,4146,evidence
37,4146,detect
37,8284,aware
37,8284,evidence
37,8284,detect
37,11991,aware
37,11991,evidence
37,11991,detect
37,5129,aware
37,5129,evidence
37,5129,detect
37,8486,aware
37,8486,evidence
37,8486,detect
37,9435,aware
37,9435,evidence
37,9435,detect
37,7910,aware
37,7910,evidence
37,7910,detect
37,1614,aware
37,1614,evidence
37,1614,detect
37,2343,aware
37,2343,evidence
37,2343,detect
37,7815,aware
37,7815,evidence
37,7815,detect
50,1420,aware
50,1420,evidence
50,1420,detect
53,11869,aware
53,11869,evidence
53,11869,detect
60,5571,aware
60,5571,evidence
60,5571,detect
