fork_frac,p_gossip,detected_rate,evid_within_60_mean,lat_ev_med,lat_ev_q25,lat_ev_q75,reps
0.005,0.008,0.3333333333333333,0.08333333333333333,77.5,70.0,102.5,12
0.01,0.008,0.6666666666666666,0.16666666666666666,100.0,70.0,136.25,12
0.02,0.008,0.75,0.5,55.0,10.0,110.0,12
0.05,0.008,1.0,0.6666666666666666,40.0,13.75,75.0,12
0.1,0.008,1.0,0.8333333333333334,22.5,10.0,37.5,12
0.005,0.01,0.3333333333333333,0.08333333333333333,77.5,70.0,102.5,12
0.01,0.01,0.6666666666666666,0.16666666666666666,100.0,70.0,136.25,12
0.02,0.01,0.75,0.5,20.0,5.0,110.0,12
0.05,0.01,1.0,0.6666666666666666,22.5,8.75,66.25,12
0.1,0.01,1.0,0.8333333333333334,17.5,8.75,30.0,12
0.005,0.015,0.5833333333333334,0.16666666666666666,75.0,65.0,82.5,12
0.01,0.015,0.8333333333333334,0.5,55.0,40.0,78.75,12
0.02,0.015,0.9166666666666666,0.8333333333333334,20.0,7.5,55.0,12
0.05,0.015,1.0,1.0,22.5,8.75,40.0,12
0.1,0.015,1.0,1.0,12.5,8.75,25.0,12
