tick,user,event
38,3502,aware
38,3502,evidence
38,3502,detect
40,4296,aware
40,4296,evidence
40,4296,detect
50,1375,aware
50,1375,evidence
50,1375,detect
54,2158,aware
54,2158,evidence
54,2158,detect
54,11695,aware
54,11695,evidence
54,11695,detect
57,3142,aware
57,3142,evidence
57,3142,detect
59,3122,aware
59,3122,evidence
59,3122,detect
60,3182,aware
60,3182,evidence
60,3182,detect
62,8437,aware
62,8437,evidence
62,8437,detect
62,8877,aware
62,8877,evidence
62,8877,detect
64,5592,aware
64,5592,evidence
64,5592,detect
64,10658,aware
64,10658,evidence
64,10658,detect
64,3484,aware
64,3484,evidence
64,3484,detect
64,6879,aware
64,6879,evidence
64,6879,detect
64,7730,aware
64,7730,evidence
64,7730,detect
64,11391,aware
64,11391,evidence
64,11391,detect
64,1723,aware
64,1723,evidence
64,1723,detect
65,9777,aware
65,9777,evidence
65,9777,detect
65,6255,aware
65,6255,evidence
65,6255,detect
69,2999,aware
69,2999,evidence
69,2999,detect
70,10867,aware
70,10867,evidence
70,10867,detect
