server_mode,mode,users,hours,dt_min,p_gossip,adoption,fork_frac,fork_hour,detected,lat_aw_min,lat_ev_min,aware_cov_end,evid_cov_end,t10_aw,t50_aw,t10_ev,t50_ev,msgs_first_ev,msgs_10_ev,msgs_50_ev,msgs_95_ev,bytes_per_send,bytes_per_delivery,crosscuts,crosscut_rate,proof_inconsistent,evidence_events,seed,p_contact_cross,p_group_cross,p_drop_crosscut,sticky_victims,msg_rate_1to1,msg_rate_group,groups,avg_group_size,proof_withhold_rate,proof_timeout_rate,invalid_proof_rate,wall_s,run_dir
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,True,75.0,75.0,0.0,0.0,,,,,39332.0,,,,1.2423625868487287,1.2423625868487287,1.0,1.507136290334735e-05,1,1,78000,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.02536940574646,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78000_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,0.44404926754609725,0.44404926754609725,0.0,0.0,0,0,78001,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.1195671558380127,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78001_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,True,80.0,80.0,0.0,0.0,,,,,42359.0,,,,1.0709060537987443,1.0709060537987443,2.0,2.8800184321179656e-05,2,2,78002,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.3907208442687988,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78002_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,True,170.0,170.0,0.0,0.0,,,,,65269.0,,,,1.6334483943754576,1.6334483943754576,1.0,1.494299248367478e-05,1,1,78003,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.559018611907959,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78003_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.2691608929946112,1.2691608929946112,0.0,0.0,0,0,78004,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.3526370525360107,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78004_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.3980488396049202,1.3980488396049202,0.0,0.0,0,0,78005,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.4495112895965576,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78005_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.9568327986384106,1.9568327986384106,0.0,0.0,0,0,78006,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.1734440326690674,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78006_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.7817900601316268,1.7817900601316268,0.0,0.0,0,0,78007,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.1438062191009521,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78007_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.3433478893740902,1.3433478893740902,0.0,0.0,0,0,78008,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.3933782577514648,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78008_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,True,55.0,55.0,0.0,0.0,,,,,35757.0,,,,1.898044714022281,1.898044714022281,1.0,1.5239953060944572e-05,1,1,78009,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.1827881336212158,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78009_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.242474941593187,1.242474941593187,0.0,0.0,0,0,78010,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.5938735008239746,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78010_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.008,0.2,0.005,3.0,False,,,0.0,0.0,,,,,,,,,1.0225829921394638,1.0225829921394638,0.0,0.0,0,0,78011,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.344118356704712,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p008_a0p2_ff0p005_s78011_drop0_pc0p02_pgc0p02
permanent_fork,sth_proof,12000,6.0,5.0,0.01,0.2,0.005,3.0,True,75.0,75.0,0.0,0.0,,,,,39332.0,,,,1.850039939111694,1.850039939111694,1.0,1.507136290334735e-05,1,1,78000,0.02,0.02,0.0,True,0.2,0.08,800,10,0.0,0.0,0.0,1.0998938083648682,C:/Users/efasllija/dev/gossip-poc/out_nb_incremental_clean0104/scenario_target_effect/permanent_fork_sth_proof_n12000_pg0p01_a0p2_ff0p005_s78000_drop0_pc0p02_pgc0p02
