fork_frac,p_gossip,detected_rate,evid_within_60_mean,lat_ev_med,lat_ev_q25,lat_ev_q75,success_reps,reps
0.005,0.006,0.5,0.125,120.0,67.5,135.0,8,16
0.0075,0.006,0.5625,0.125,115.0,75.0,135.0,9,16
0.01,0.006,0.625,0.3125,47.5,26.25,78.75,10,16
0.015,0.006,0.75,0.4375,40.0,21.25,85.0,12,16
0.02,0.006,0.75,0.5,30.0,17.5,66.25,12,16
0.03,0.006,0.875,0.625,27.5,16.25,61.25,14,16
0.04,0.006,0.9375,0.6875,20.0,7.5,50.0,15,16
0.05,0.006,0.9375,0.8125,20.0,7.5,30.0,15,16
0.075,0.006,1.0,0.9375,17.5,5.0,26.25,16,16
0.1,0.006,1.0,1.0,15.0,5.0,21.25,16,16
0.005,0.01,0.75,0.1875,100.0,60.0,121.25,12,16
0.0075,0.01,0.8125,0.1875,90.0,70.0,120.0,13,16
0.01,0.01,0.8125,0.375,65.0,30.0,90.0,13,16
0.015,0.01,1.0,0.5,57.5,28.75,115.0,16,16
0.02,0.01,1.0,0.5625,40.0,18.75,78.75,16,16
0.03,0.01,1.0,0.625,30.0,15.0,71.25,16,16
0.04,0.01,1.0,0.6875,22.5,8.75,71.25,16,16
0.05,0.01,1.0,0.8125,22.5,8.75,33.75,16,16
0.075,0.01,1.0,0.9375,15.0,5.0,26.25,16,16
0.1,0.01,1.0,1.0,15.0,5.0,21.25,16,16
0.005,0.015,0.75,0.25,85.0,30.0,117.5,12,16
0.0075,0.015,0.8125,0.3125,75.0,30.0,115.0,13,16
0.01,0.015,0.8125,0.4375,30.0,25.0,90.0,13,16
0.015,0.015,1.0,0.5625,40.0,25.0,115.0,16,16
0.02,0.015,1.0,0.625,30.0,18.75,78.75,16,16
0.03,0.015,1.0,0.6875,25.0,13.75,70.0,16,16
0.04,0.015,1.0,0.8125,17.5,5.0,37.5,16,16
0.05,0.015,1.0,0.9375,17.5,5.0,30.0,16,16
0.075,0.015,1.0,1.0,15.0,5.0,26.25,16,16
0.1,0.015,1.0,1.0,15.0,5.0,21.25,16,16
