tick,user,event
37,2159,aware
37,2159,evidence
37,2159,detect
42,9842,aware
42,9842,evidence
42,9842,detect
49,4462,aware
49,4462,evidence
49,4462,detect
49,7370,aware
49,7370,evidence
49,7370,detect
49,1671,aware
49,1671,evidence
49,1671,detect
49,1287,aware
49,1287,evidence
49,1287,detect
53,6792,aware
53,6792,evidence
53,6792,detect
54,6175,aware
54,6175,evidence
54,6175,detect
56,9303,aware
56,9303,evidence
56,9303,detect
58,2655,aware
58,2655,evidence
58,2655,detect
63,8273,aware
63,8273,evidence
63,8273,detect
68,3482,aware
68,3482,evidence
68,3482,detect
68,2614,aware
68,2614,evidence
68,2614,detect
68,9542,aware
68,9542,evidence
68,9542,detect
