users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.8650133609771729,0.0,0.0,0.375,80.0,80.0,,,,,39593.0,,,0.32512229657199604,0.32512229657199604,0.375,0.375
12000,0.1,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.903799295425415,0.0,0.0,0.625,85.0,85.0,,,,,41773.0,,,0.496918224293806,0.496918224293806,0.75,0.75
12000,0.1,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9780532121658325,0.0,0.0,0.875,85.0,85.0,,,,,40698.0,,,0.7697915968063012,0.7697915968063012,1.375,1.375
12000,0.1,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9143393039703369,0.0,0.0,0.875,80.0,80.0,,,,,39593.0,,,1.199180587019523,1.199180587019523,1.5,1.5
12000,0.1,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.8979159593582153,0.0,0.0,1.0,62.5,62.5,,,,,35919.0,,,1.7749313294329117,1.7749313294329117,2.25,2.25
12000,0.1,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.8966361284255981,0.0,0.0,1.0,62.5,62.5,,,,,35919.0,,,2.6309844898111225,2.6309844898111225,5.0,5.0
12000,0.1,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.8945518732070923,0.0,0.0,1.0,40.0,40.0,,,,,32701.5,,,4.4580002747715035,4.4580002747715035,6.875,6.875
12000,0.2,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9067139625549316,0.0,0.0,0.25,95.0,95.0,,,,,47079.5,,,0.4769103420352788,0.4769103420352788,1.375,1.375
12000,0.2,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9004862308502197,0.0,0.0,0.5,55.0,55.0,,,,,35967.5,,,0.9027993673768202,0.9027993673768202,2.125,2.125
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9087753295898438,0.0,0.0,0.75,40.0,40.0,,,,,34458.0,,,1.4546583631457684,1.4546583631457684,3.625,3.625
12000,0.2,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9050725698471069,0.0,0.0,0.875,60.0,60.0,,,,,38026.0,,,2.077878372671866,2.077878372671866,4.375,4.375
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9068940877914429,0.0,0.0,1.0,37.5,37.5,,,,,32640.5,,,3.408754906129635,3.408754906129635,5.625,5.625
12000,0.2,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9071692228317261,0.0,0.0,1.0,27.5,27.5,,,,,31085.0,,,5.087592872393184,5.087592872393184,8.25,8.25
12000,0.2,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9067891836166382,0.0,0.0,1.0,20.0,20.0,,,,,30050.0,,,8.282064168949363,8.282064168949363,14.375,14.375
12000,0.3,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9069509506225586,0.0,0.0,0.5,105.0,105.0,,,,,45454.0,,,0.8020870129904845,0.8020870129904845,0.875,0.875
12000,0.3,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9104688167572021,0.0,0.0,0.75,97.5,97.5,,,,,45454.0,,,1.312446950350684,1.312446950350684,1.125,1.125
12000,0.3,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9113202095031738,0.0,0.0,0.75,97.5,97.5,,,,,45454.0,,,2.143498222622096,2.143498222622096,1.25,1.25
12000,0.3,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.906089186668396,0.0,0.0,1.0,97.5,97.5,,,,,44728.5,,,3.130712026803054,3.130712026803054,2.25,2.25
12000,0.3,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9227422475814819,0.0,0.0,1.0,32.5,32.5,,,,,31278.5,,,5.332191043693252,5.332191043693252,6.875,6.875
12000,0.3,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9181554317474365,0.0,0.0,1.0,25.0,25.0,,,,,29946.0,,,7.814155528801251,7.814155528801251,10.125,10.125
12000,0.3,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.9236478805541992,0.0,0.0,1.0,17.5,17.5,,,,,29318.0,,,12.96964551966521,12.96964551966521,19.75,19.75
