users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.1,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.375,80.0,42.5,105.0,0.32512229657199604,0.32512229657199604,0.375,0.375,,,
12000,0.1,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.625,85.0,80.0,95.0,0.496918224293806,0.496918224293806,0.75,0.75,,,
12000,0.1,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.875,85.0,57.5,92.5,0.7697915968063012,0.7697915968063012,1.375,1.375,,,
12000,0.1,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.875,80.0,37.5,90.0,1.199180587019523,1.199180587019523,1.5,1.5,,,
12000,0.1,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,62.5,28.75,81.25,1.7749313294329117,1.7749313294329117,2.25,2.25,,,
12000,0.1,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,62.5,28.75,81.25,2.6309844898111225,2.6309844898111225,5.0,5.0,,,
12000,0.1,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,40.0,13.75,65.0,4.4580002747715035,4.4580002747715035,6.875,6.875,,,
12000,0.2,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.25,95.0,60.0,130.0,0.4769103420352788,0.4769103420352788,1.375,1.375,,,
12000,0.2,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.5,55.0,7.5,116.25,0.9027993673768202,0.9027993673768202,2.125,2.125,,,
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.75,40.0,10.0,92.5,1.4546583631457684,1.4546583631457684,3.625,3.625,,,
12000,0.2,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.875,60.0,10.0,80.0,2.077878372671866,2.077878372671866,4.375,4.375,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,37.5,10.0,67.5,3.408754906129635,3.408754906129635,5.625,5.625,,,
12000,0.2,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,27.5,10.0,67.5,5.087592872393184,5.087592872393184,8.25,8.25,,,
12000,0.2,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,20.0,8.75,43.75,8.282064168949363,8.282064168949363,14.375,14.375,,,
12000,0.3,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.5,105.0,50.0,151.25,0.8020870129904845,0.8020870129904845,0.875,0.875,,,
12000,0.3,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.75,97.5,20.0,141.25,1.312446950350684,1.312446950350684,1.125,1.125,,,
12000,0.3,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,0.75,97.5,20.0,141.25,2.143498222622096,2.143498222622096,1.25,1.25,,,
12000,0.3,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,97.5,37.5,147.5,3.130712026803054,3.130712026803054,2.25,2.25,,,
12000,0.3,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,32.5,0.0,68.75,5.332191043693252,5.332191043693252,6.875,6.875,,,
12000,0.3,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,25.0,0.0,68.75,7.814155528801251,7.814155528801251,10.125,10.125,,,
12000,0.3,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,8,1.0,17.5,0.0,47.5,12.96964551966521,12.96964551966521,19.75,19.75,,,
