users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,wall_s_med,aware_cov_end_mean,evid_cov_end_mean,detected_rate,lat_aw_med,lat_ev_med,t10_aw_med,t50_aw_med,t10_ev_med,t50_ev_med,msgs_first_ev_med,msgs_50_ev_med,msgs_95_ev_med,bpd_mean,bps_mean,crosscuts_mean,evidence_mean
12000,0.1,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8230552673339844,0.0,0.0,0.3333333333333333,45.0,45.0,,,,,33887.0,,,0.3259127457878708,0.3259127457878708,0.3333333333333333,0.3333333333333333
12000,0.1,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8671072721481323,0.0,0.0,0.5833333333333334,80.0,80.0,,,,,39593.0,,,0.5060724498066608,0.5060724498066608,0.6666666666666666,0.6666666666666666
12000,0.1,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8674569129943848,0.0,0.0,0.9166666666666666,80.0,80.0,,,,,39593.0,,,0.8399844435593425,0.8399844435593425,1.4166666666666667,1.4166666666666667
12000,0.1,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8725295066833496,0.0,0.0,0.9166666666666666,70.0,70.0,,,,,37389.0,,,1.2122163674359452,1.2122163674359452,1.75,1.75
12000,0.1,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8668253421783447,0.0,0.0,1.0,57.5,57.5,,,,,35153.5,,,1.8183782596055973,1.8183782596055973,2.75,2.75
12000,0.1,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8967702388763428,0.0,0.0,1.0,57.5,57.5,,,,,35153.5,,,2.676387111521919,2.676387111521919,5.416666666666667,5.416666666666667
12000,0.1,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8989373445510864,0.0,0.0,1.0,40.0,40.0,,,,,32806.0,,,4.4572245647795885,4.4572245647795885,8.583333333333334,8.583333333333334
12000,0.2,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8912874460220337,0.0,0.0,0.25,25.0,25.0,,,,,28635.0,,,0.538674266547,0.538674266547,1.8333333333333333,1.8333333333333333
12000,0.2,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.900780439376831,0.0,0.0,0.5833333333333334,100.0,100.0,,,,,43860.0,,,0.9356053133384644,0.9356053133384644,2.5,2.5
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9011774063110352,0.0,0.0,0.8333333333333334,55.0,55.0,,,,,35620.5,,,1.5371938129141494,1.5371938129141494,3.75,3.75
12000,0.2,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9154613018035889,0.0,0.0,0.9166666666666666,60.0,60.0,,,,,38026.0,,,2.201577192723278,2.201577192723278,4.583333333333333,4.583333333333333
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8991459608078003,0.0,0.0,1.0,32.5,32.5,,,,,31569.5,,,3.578478165423457,3.578478165423457,6.666666666666667,6.666666666666667
12000,0.2,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9099786281585693,0.0,0.0,1.0,27.5,27.5,,,,,31085.0,,,5.430042314892557,5.430042314892557,10.25,10.25
12000,0.2,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9111217260360718,0.0,0.0,1.0,17.5,17.5,,,,,29339.5,,,8.869433960912035,8.869433960912035,16.833333333333332,16.833333333333332
12000,0.3,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9121586084365845,0.0,0.0,0.5833333333333334,135.0,135.0,,,,,52615.0,,,0.8203301648381647,0.8203301648381647,1.5833333333333333,1.5833333333333333
12000,0.3,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9235091209411621,0.0,0.0,0.8333333333333334,105.0,105.0,,,,,45754.0,,,1.3624959758485862,1.3624959758485862,1.9166666666666667,1.9166666666666667
12000,0.3,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9175666570663452,0.0,0.0,0.8333333333333334,100.0,100.0,,,,,44822.0,,,2.175625667328213,2.175625667328213,2.3333333333333335,2.3333333333333335
12000,0.3,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9655734300613403,0.0,0.0,1.0,100.0,100.0,,,,,44822.0,,,3.2602702346623715,3.2602702346623715,3.3333333333333335,3.3333333333333335
12000,0.3,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9393805265426636,0.0,0.0,1.0,45.0,45.0,,,,,33193.0,,,5.460390415426791,5.460390415426791,6.75,6.75
12000,0.3,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9487167596817017,0.0,0.0,1.0,32.5,32.5,,,,,30902.5,,,7.943379041840061,7.943379041840061,10.333333333333334,10.333333333333334
12000,0.3,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9512314796447754,0.0,0.0,1.0,17.5,17.5,,,,,28857.0,,,13.449651641030457,13.449651641030457,21.416666666666668,21.416666666666668
