users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,reps,detected_rate,lat_ev_med,lat_ev_q25,lat_ev_q75,bpd_mean,bps_mean,evidence_mean,crosscuts_mean,msgs_95_ev_med,msgs_95_ev_q25,msgs_95_ev_q75
12000,0.1,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.3333333333333333,45.0,8.75,92.5,0.3259127457878708,0.3259127457878708,0.3333333333333333,0.3333333333333333,,,
12000,0.1,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.5833333333333334,80.0,40.0,90.0,0.5060724498066608,0.5060724498066608,0.6666666666666666,0.6666666666666666,,,
12000,0.1,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9166666666666666,80.0,35.0,92.5,0.8399844435593425,0.8399844435593425,1.4166666666666667,1.4166666666666667,,,
12000,0.1,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9166666666666666,70.0,35.0,90.0,1.2122163674359452,1.2122163674359452,1.75,1.75,,,
12000,0.1,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,57.5,28.75,81.25,1.8183782596055973,1.8183782596055973,2.75,2.75,,,
12000,0.1,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,57.5,28.75,81.25,2.676387111521919,2.676387111521919,5.416666666666667,5.416666666666667,,,
12000,0.1,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,40.0,13.75,72.5,4.4572245647795885,4.4572245647795885,8.583333333333334,8.583333333333334,,,
12000,0.2,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.25,25.0,12.5,95.0,0.538674266547,0.538674266547,1.8333333333333333,1.8333333333333333,,,
12000,0.2,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.5833333333333334,100.0,5.0,160.0,0.9356053133384644,0.9356053133384644,2.5,2.5,,,
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8333333333333334,55.0,10.0,141.25,1.5371938129141494,1.5371938129141494,3.75,3.75,,,
12000,0.2,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.9166666666666666,60.0,10.0,95.0,2.201577192723278,2.201577192723278,4.583333333333333,4.583333333333333,,,
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,32.5,8.75,62.5,3.578478165423457,3.578478165423457,6.666666666666667,6.666666666666667,,,
12000,0.2,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,27.5,8.75,62.5,5.430042314892557,5.430042314892557,10.25,10.25,,,
12000,0.2,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,17.5,5.0,38.75,8.869433960912035,8.869433960912035,16.833333333333332,16.833333333333332,,,
12000,0.3,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.5833333333333334,135.0,55.0,152.5,0.8203301648381647,0.8203301648381647,1.5833333333333333,1.5833333333333333,,,
12000,0.3,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8333333333333334,105.0,50.0,133.75,1.3624959758485862,1.3624959758485862,1.9166666666666667,1.9166666666666667,,,
12000,0.3,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,0.8333333333333334,100.0,50.0,125.0,2.175625667328213,2.175625667328213,2.3333333333333335,2.3333333333333335,,,
12000,0.3,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,100.0,42.5,132.5,3.2602702346623715,3.2602702346623715,3.3333333333333335,3.3333333333333335,,,
12000,0.3,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,45.0,7.5,76.25,5.460390415426791,5.460390415426791,6.75,6.75,,,
12000,0.3,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,32.5,0.0,46.25,7.943379041840061,7.943379041840061,10.333333333333334,10.333333333333334,,,
12000,0.3,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,12,1.0,17.5,0.0,36.25,13.449651641030457,13.449651641030457,21.416666666666668,21.416666666666668,,,
