users,adoption,p_gossip,server_mode,mode,fork_frac,p_contact_cross,p_group_cross,p_drop_crosscut,fast_detect_rate,reps,threshold_min
12000,0.1,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.1,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.1,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.1,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.1,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.25,12,30.0
12000,0.1,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.25,12,30.0
12000,0.1,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.3333333333333333,12,30.0
12000,0.2,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.2,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.25,12,30.0
12000,0.2,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.3333333333333333,12,30.0
12000,0.2,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.3333333333333333,12,30.0
12000,0.2,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.5,12,30.0
12000,0.2,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.5833333333333334,12,30.0
12000,0.2,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.6666666666666666,12,30.0
12000,0.3,0.003,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.08333333333333333,12,30.0
12000,0.3,0.005,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.3,0.008,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.16666666666666666,12,30.0
12000,0.3,0.012,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.25,12,30.0
12000,0.3,0.02,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.4166666666666667,12,30.0
12000,0.3,0.03,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.5,12,30.0
12000,0.3,0.05,permanent_fork,sth_proof,0.02,0.005,0.005,0.0,0.6666666666666666,12,30.0
