tick,user,event
50,1578,aware
50,1578,evidence
50,1578,detect
64,10212,aware
64,10212,evidence
64,10212,detect
64,5934,aware
64,5934,evidence
64,5934,detect
64,8763,aware
64,8763,evidence
64,8763,detect
64,3861,aware
64,3861,evidence
64,3861,detect
64,7200,aware
64,7200,evidence
64,7200,detect
64,11972,aware
64,11972,evidence
64,11972,detect
64,5847,aware
64,5847,evidence
64,5847,detect
64,6897,aware
64,6897,evidence
64,6897,detect
64,4855,aware
64,4855,evidence
64,4855,detect
64,6258,aware
64,6258,evidence
64,6258,detect
69,10680,aware
69,10680,evidence
69,10680,detect
71,1740,aware
71,1740,evidence
71,1740,detect
