tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick
0,0,0,0,0,0,0,0,0,0,0,1046
1,0,0,0,1792,0,0,0,0,0,0,942
2,0,0,0,896,0,0,0,0,0,0,822
3,0,0,0,1792,0,0,0,0,0,0,788
4,0,0,0,0,0,0,0,0,0,0,939
5,0,0,0,896,0,0,0,0,0,0,876
6,0,0,0,896,0,0,0,0,0,0,838
7,0,0,0,0,0,0,0,0,0,0,802
8,0,0,0,0,0,0,0,0,0,0,826
9,0,0,0,896,0,0,0,0,0,0,780
10,0,0,0,896,0,0,0,0,0,0,798
11,0,0,0,0,0,0,0,0,0,0,718
12,0,0,0,8064,0,0,0,0,0,0,744
13,0,0,0,0,0,0,0,0,0,0,772
14,0,0,0,1792,0,0,0,0,0,0,657
15,0,0,0,0,0,0,0,0,0,0,656
16,0,0,0,1792,0,0,0,0,0,0,685
17,0,0,0,896,0,0,0,0,0,0,411
18,0,0,0,896,0,0,0,0,0,0,589
19,0,0,0,0,0,0,0,0,0,0,581
20,0,0,0,2688,0,0,0,0,0,0,721
21,0,0,0,0,0,0,0,0,0,0,642
22,0,0,0,896,0,0,0,0,0,0,577
23,0,0,0,0,0,0,0,0,0,0,696
24,0,0,0,0,0,0,0,0,0,0,736
25,0,0,0,0,0,0,0,0,0,0,792
26,0,0,0,0,0,0,0,0,0,0,598
27,0,0,0,896,0,0,0,0,0,0,695
28,0,0,0,0,0,0,0,0,0,0,669
29,0,0,0,9856,0,0,0,0,0,0,620
30,0,0,0,1792,0,0,0,0,0,0,670
31,0,0,0,0,0,0,0,0,0,0,628
32,0,0,0,896,0,0,0,0,0,0,709
33,0,0,0,896,0,0,0,0,0,0,727
34,0,0,0,17920,0,0,0,0,0,0,738
35,0,0,0,0,0,0,0,0,0,0,756
36,0,0,0,0,0,0,0,0,0,0,679
37,0,0,0,11648,0,0,0,0,0,0,691
38,0,0,0,0,0,0,0,0,0,0,596
39,0,0,0,0,0,0,0,0,0,0,731
40,0,0,0,0,0,0,0,0,0,0,873
41,0,0,0,0,0,0,0,0,0,0,939
42,0,0,0,1792,0,0,0,0,0,0,820
43,0,0,0,896,0,0,0,0,0,0,714
44,0,0,0,0,0,0,0,0,0,0,833
45,0,0,0,0,0,0,0,0,0,0,775
46,0,0,0,896,0,0,0,0,0,0,1038
47,0,0,0,896,0,0,0,0,0,0,822
48,0,0,0,1792,0,0,0,0,0,0,1083
49,0,0,0,896,0,0,0,0,0,0,937
50,0,0,0,896,0,0,0,0,0,0,953
51,0,0,0,0,0,0,0,0,0,0,1073
52,0,0,0,896,0,0,0,0,0,0,1052
53,1,1,1,16128,0,1,0,0,1,0,920
54,1,1,1,896,0,0,0,0,0,0,1023
55,1,1,1,896,0,0,0,0,0,0,1125
56,1,1,1,2688,0,0,0,0,0,0,1120
57,1,1,1,1792,0,0,0,0,0,0,1363
58,1,1,1,2688,0,0,0,0,0,0,1358
59,1,1,1,1792,0,0,0,0,0,0,1229
60,1,1,1,0,0,0,0,0,0,0,1322
61,1,1,1,0,0,0,0,0,0,0,1355
62,1,1,1,8960,0,0,0,0,0,0,1311
63,1,1,1,0,0,0,0,0,0,0,1071
64,1,1,1,1792,0,0,0,0,0,0,1379
65,1,1,1,10752,0,0,0,0,0,0,1234
66,2,2,2,9856,0,1,0,0,1,0,1280
67,2,2,2,10752,0,0,0,0,0,0,1462
68,2,2,2,11648,0,0,0,0,0,0,1404
69,2,2,2,9856,0,0,0,0,0,0,1461
70,2,2,2,896,0,0,0,0,0,0,1617
71,6,6,6,13440,0,4,0,0,4,0,1732
