tick,user,event
50,4425,aware
50,4425,evidence
50,4425,detect
55,1757,aware
55,1757,evidence
55,1757,detect
57,1213,aware
57,1213,evidence
57,1213,detect
62,3850,aware
62,3850,evidence
62,3850,detect
64,8345,aware
64,8345,evidence
64,8345,detect
64,9104,aware
64,9104,evidence
64,9104,detect
64,10612,aware
64,10612,evidence
64,10612,detect
64,3473,aware
64,3473,evidence
64,3473,detect
64,9595,aware
64,9595,evidence
64,9595,detect
64,8223,aware
64,8223,evidence
64,8223,detect
64,2142,aware
64,2142,evidence
64,2142,detect
64,5170,aware
64,5170,evidence
64,5170,detect
64,11925,aware
64,11925,evidence
64,11925,detect
64,7411,aware
64,7411,evidence
64,7411,detect
64,9609,aware
64,9609,evidence
64,9609,detect
64,7565,aware
64,7565,evidence
64,7565,detect
64,3278,aware
64,3278,evidence
64,3278,detect
64,3988,aware
64,3988,evidence
64,3988,detect
65,3070,aware
65,3070,evidence
65,3070,detect
66,1024,aware
66,1024,evidence
66,1024,detect
67,2303,aware
67,2303,evidence
67,2303,detect
71,6215,aware
71,6215,evidence
71,6215,detect
