tick,aware_users,detectors,evidence_users,gossip_bytes_this_tick,proofs_ok,proofs_inconsistent,proofs_withhold,proofs_timeout,crosscut_deliveries,crosscut_dropped,messages_this_tick,latest_users
0,0,0,0,896,0,0,0,0,0,0,1015,12000
1,0,0,0,2688,0,0,0,0,0,0,751,12000
2,0,0,0,896,0,0,0,0,0,0,838,12000
3,0,0,0,17024,0,0,0,0,0,0,852,12000
4,0,0,0,896,0,0,0,0,0,0,730,12000
5,0,0,0,0,0,0,0,0,0,0,853,12000
6,0,0,0,1792,0,0,0,0,0,0,753,12000
7,0,0,0,896,0,0,0,0,0,0,831,12000
8,0,0,0,10752,0,0,0,0,0,0,662,12000
9,0,0,0,1792,0,0,0,0,0,0,716,12000
10,0,0,0,1792,0,0,0,0,0,0,721,12000
11,0,0,0,0,0,0,0,0,0,0,732,12000
12,0,0,0,896,0,0,0,0,0,0,813,2
13,0,0,0,896,0,0,0,0,0,0,703,4
14,0,0,0,1792,0,0,0,0,0,0,674,8
15,0,0,0,1792,0,0,0,0,0,0,770,12
16,0,0,0,0,0,0,0,0,0,0,612,12
17,0,0,0,11648,0,0,0,0,0,0,610,25
18,0,0,0,11648,0,0,0,0,0,0,626,39
19,0,0,0,1792,0,0,0,0,0,0,575,43
20,0,0,0,0,0,0,0,0,0,0,762,43
21,0,0,0,896,0,0,0,0,0,0,607,44
22,0,0,0,0,0,0,0,0,0,0,643,44
23,0,0,0,896,0,0,0,0,0,0,662,46
24,0,0,0,896,0,0,0,0,0,0,589,2
25,0,0,0,896,0,0,0,0,0,0,684,4
26,0,0,0,0,0,0,0,0,0,0,599,4
27,0,0,0,4480,0,0,0,0,0,0,625,9
28,0,0,0,896,0,0,0,0,0,0,694,11
29,0,0,0,896,0,0,0,0,0,0,734,13
30,0,0,0,12544,0,0,0,0,0,0,671,26
31,0,0,0,1792,0,0,0,0,0,0,545,30
32,0,0,0,1792,0,0,0,0,0,0,658,34
33,0,0,0,1792,0,0,0,0,0,0,800,38
34,0,0,0,896,0,0,0,0,0,0,642,39
35,0,0,0,2688,0,0,0,0,0,0,629,45
36,0,0,0,896,0,0,0,0,0,0,742,2
37,0,0,0,896,0,0,0,0,0,0,800,4
38,0,0,0,896,0,0,0,0,0,0,798,6
39,0,0,0,896,0,0,0,0,0,0,771,8
40,1,1,1,896,0,1,0,0,1,0,816,9
41,1,1,1,0,0,0,0,0,0,0,904,9
42,1,1,1,0,0,0,0,0,0,0,890,9
43,1,1,1,0,0,0,0,0,0,0,887,9
44,1,1,1,896,0,0,0,0,0,0,715,11
45,1,1,1,896,0,0,0,0,0,0,854,13
46,1,1,1,2688,0,0,0,0,0,0,808,18
47,1,1,1,13440,0,0,0,0,0,0,846,34
48,1,1,1,11648,0,0,0,0,0,0,912,14
49,1,1,1,896,0,0,0,0,0,0,887,16
50,1,1,1,1792,0,0,0,0,0,0,966,19
51,1,1,1,896,0,0,0,0,0,0,1084,21
52,1,1,1,0,0,0,0,0,0,0,1240,21
53,1,1,1,896,0,0,0,0,0,0,1076,23
54,1,1,1,2688,0,0,0,0,0,0,1155,29
55,1,1,1,3584,0,0,0,0,0,0,1301,36
56,1,1,1,0,0,0,0,0,0,0,1183,36
57,1,1,1,1792,0,0,0,0,0,0,1188,40
58,1,1,1,896,0,0,0,0,0,0,1283,42
59,1,1,1,0,0,0,0,0,0,0,1379,42
60,1,1,1,0,0,0,0,0,0,0,1277,0
61,1,1,1,4480,0,0,0,0,0,0,1200,10
62,1,1,1,10752,0,0,0,0,0,0,1273,24
63,1,1,1,896,0,0,0,0,0,0,1383,26
64,1,1,1,4480,0,0,0,0,0,0,1607,36
65,1,1,1,0,0,0,0,0,0,0,1612,36
66,1,1,1,2688,0,0,0,0,0,0,1488,42
67,1,1,1,8064,0,0,0,0,0,0,1314,52
68,1,1,1,13440,0,0,0,0,0,0,1842,71
69,2,2,2,15232,0,1,0,0,1,0,1621,93
70,2,2,2,13440,0,0,0,0,0,0,1555,110
71,2,2,2,4480,0,0,0,0,0,0,1554,120
