tick,user,event
36,1378,aware
36,1378,evidence
36,1378,detect
36,6872,aware
36,6872,evidence
36,6872,detect
37,11694,aware
37,11694,evidence
37,11694,detect
39,622,aware
39,622,evidence
39,622,detect
40,9448,aware
40,9448,evidence
40,9448,detect
42,5554,aware
42,5554,evidence
42,5554,detect
45,4145,aware
45,4145,evidence
45,4145,detect
45,6230,aware
45,6230,evidence
45,6230,detect
52,6527,aware
52,6527,evidence
52,6527,detect
57,4702,aware
57,4702,evidence
57,4702,detect
58,4256,aware
58,4256,evidence
58,4256,detect
62,5943,aware
62,5943,evidence
62,5943,detect
63,3950,aware
63,3950,evidence
63,3950,detect
64,3101,aware
64,3101,evidence
64,3101,detect
65,6375,aware
65,6375,evidence
65,6375,detect
67,4746,aware
67,4746,evidence
67,4746,detect
70,1411,aware
70,1411,evidence
70,1411,detect
71,3926,aware
71,3926,evidence
71,3926,detect
71,5335,aware
71,5335,evidence
71,5335,detect
